,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume,windowSize_2,windowSize_3,week_1,week_2
858,2017-08-22,-0.1,9815.75,9828.450195,9752.599609,9765.549805,9765.549805,183600.0,0.15833333333333333,0.2537037037037037,0.17567987567987567,0.1659136498422213
857,2017-08-23,0.4166666666666667,9803.049805,9857.900391,9786.75,9852.5,9852.5,168600.0,0.4305555555555556,0.4385521885521886,0.20782273282273284,0.201627935556507
856,2017-08-24,0.4444444444444444,9881.200195,9881.5,9848.849609,9857.049805,9857.049805,184700.0,0.4494949494949495,0.16077441077441074,0.1353119103119103,0.1639295228580943
855,2017-08-28,0.4545454545454545,9907.150391,9925.75,9882.0,9912.799805,9912.799805,159600.0,0.01893939393939389,0.07929292929292926,0.0977938727938728,0.14517050409907553
854,2017-08-29,-0.4166666666666667,9886.400391,9887.349609,9783.75,9796.049805,9796.049805,173300.0,-0.10833333333333334,0.004700854700854712,0.019871794871794874,0.09229480836623694
853,2017-08-30,0.2,9859.5,9909.450195,9850.799805,9884.400391,9884.400391,157800.0,0.2153846153846154,0.18525641025641024,0.14532967032967034,0.14756691720977438
852,2017-08-31,0.2307692307692308,9905.700195,9925.099609,9856.950195,9917.900391,9917.900391,327700.0,0.17788461538461542,0.0882867132867133,0.16870629370629375,0.14348528455671314
851,2017-09-01,0.125,9937.650391,9983.450195,9909.849609,9974.400391,9974.400391,157800.0,0.017045454545454537,0.07196969696969698,0.15614742400456688,0.12700176807319666
850,2017-09-04,-0.09090909090909093,9984.150391,9988.400391,9861.0,9912.849609,9912.849609,148800.0,0.04545454545454546,0.0,0.1954331382902812,0.1091446252160538
849,2017-09-05,0.18181818181818185,9933.25,9963.099609,9901.049805,9952.200195,9952.200195,139200.0,0.04545454545454546,0.18414918414918416,0.19254713540427826,0.10543405007690722
848,2017-09-06,-0.09090909090909093,9899.25,9931.549805,9882.549805,9916.200195,9916.200195,149200.0,0.1853146853146853,0.2447552447552448,0.19254713540427829,0.09244703708989424
847,2017-09-07,0.4615384615384616,9945.849609,9964.849609,9917.200195,9929.900391,9929.900391,188800.0,0.4125874125874127,0.32267732267732274,0.164717821860679,0.09894054358340074
846,2017-09-08,0.3636363636363637,9958.650391,9963.599609,9913.299805,9934.799805,9934.799805,163600.0,0.2532467532467533,0.3021645021645022,0.1498041640898784,0.1374020820449392
845,2017-09-11,0.14285714285714285,9971.75,10028.650391,9968.799805,10006.049805,10006.049805,173000.0,0.27142857142857146,0.14391534391534394,0.11826427540713255,0.18285662749948464
844,2017-09-12,0.4,10056.849609,10097.549805,10028.049805,10093.049805,10093.049805,182600.0,0.14444444444444446,0.1569023569023569,0.09785611214182643,0.1726525458668316
843,2017-09-13,-0.1111111111111111,10099.25,10131.950195,10063.150391,10079.299805,10079.299805,215000.0,0.035353535353535366,-0.07166907166907165,0.02285611214182643,0.1848974438260152
842,2017-09-14,0.18181818181818185,10107.400391,10126.5,10070.349609,10086.599609,10086.599609,225600.0,-0.05194805194805192,0.08441558441558443,0.01832096474953618,0.21426252319109465
841,2017-09-15,-0.2857142857142857,10062.349609,10115.150391,10043.650391,10085.400391,10085.400391,266600.0,0.035714285714285726,0.07142857142857144,-0.007653061224489792,0.2369897959183673
840,2017-09-18,0.35714285714285715,10133.099609,10171.700195,10131.299805,10153.099609,10153.099609,156100.0,0.25,0.16666666666666666,0.03316326530612245,0.2931122448979592
839,2017-09-19,0.14285714285714285,10175.599609,10178.950195,10129.950195,10147.549805,10147.549805,187500.0,0.07142857142857142,0.0059523809523809494,0.125,0.2982142857142857
838,2017-09-20,0.0,10160.950195,10171.049805,10134.200195,10141.150391,10141.150391,199400.0,-0.0625,-0.08928571428571429,0.24744897959183676,0.2880102040816327
837,2017-09-21,-0.125,10139.599609,10158.900391,10058.599609,10121.900391,10121.900391,191800.0,-0.13392857142857142,-0.08928571428571429,0.24744897959183676,0.2880102040816327
836,2017-09-22,-0.14285714285714285,10094.349609,10095.049805,9952.799805,9964.400391,9964.400391,226600.0,-0.07142857142857142,-0.047619047619047616,0.3469387755102041,0.3147959183673469
835,2017-09-25,0.0,9960.099609,9960.5,9816.049805,9872.599609,9872.599609,221400.0,0.0,0.3333333333333333,0.41020408163265293,0.3607142857142857
834,2017-09-26,0.0,9875.25,9891.349609,9813.0,9871.5,9871.5,190900.0,0.5,0.6666666666666666,0.4816326530612245,0.3607142857142857
833,2017-09-28,1.0,9736.400391,9789.200195,9687.549805,9768.950195,9768.950195,385000.0,1.0,0.6666666666666666,0.5530612244897959,0.3964285714285714
832,2017-09-29,1.0,9814.299805,9854.0,9775.349609,9788.599609,9788.599609,196300.0,0.5,0.5238095238095238,0.4714285714285714,0.325
